Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,150.740005,151.000000,140.559998,141.210007,141.210007,46490200
2022-12-28,139.270004,142.619995,138.839996,140.360001,140.360001,35106600
2022-12-29,144.020004,146.830002,142.270004,146.029999,146.029999,35492300
2022-12-30,143.339996,146.289993,142.330002,146.139999,146.139999,31027300
2023-01-03,148.509995,149.960007,140.960007,143.149994,143.149994,40127700
2023-01-04,145.669998,148.529999,142.410004,147.490005,147.490005,43132400
2023-01-05,144.910004,145.639999,141.479996,142.649994,142.649994,38916800
2023-01-06,144.740005,150.100006,140.339996,148.589996,148.589996,40482300
2023-01-09,152.839996,160.559998,151.410004,156.279999,156.279999,50423100
2023-01-10,155.070007,159.619995,154.720001,159.089996,159.089996,38410100
2023-01-11,158.399994,160.279999,155.630005,160.009995,160.009995,35328500
2023-01-12,161.000000,166.369995,154.919998,165.110001,165.110001,55140900
2023-01-13,162.779999,169.220001,161.649994,168.990005,168.990005,44693500
2023-01-17,168.990005,177.279999,168.990005,177.020004,177.020004,51110200
2023-01-18,176.669998,178.729996,172.820007,173.770004,173.770004,43962400
2023-01-19,170.360001,171.970001,167.309998,167.649994,167.649994,45293200
2023-01-20,170.110001,178.559998,168.250000,178.389999,178.389999,56401600
2023-01-23,180.639999,192.449997,178.179993,191.929993,191.929993,65516300
2023-01-24,188.270004,194.949997,188.199997,192.649994,192.649994,49620400
2023-01-25,189.130005,193.699997,185.800003,193.229996,193.229996,44953700
2023-01-26,197.009995,201.660004,192.779999,198.020004,198.020004,48953500
2023-01-27,194.619995,206.279999,194.050003,203.649994,203.649994,53435660
